scientific_name,protein_acc,biosample_acc,target_acc,contig_acc,start_on_contig,end_on_contig,strand,element_symbol,element_name,type,scope,subtype,class,subclass,amr_method,pct_ref_coverage,pct_ref_identity,taxgroup_name,strain,serovar,element_length,reference_element_length,align_length,hmm_acc,hmm_description,geo_loc_name,isolation_source,epi_type,host,asm_acc,collection_date,Run,closest_reference_acc,closest_reference_name,rel_asm_cov,contig_coverage,asm_coverage,amrfinderplus_version,amrfinderplus_analysis_type,refgene_db_version,target_data_id,contig_url,protein_url,hierarchy_node
Staphylococcus aureus,WP_043044695.1,SAMEA3448908,PDT000171112.2,NZ_FQNE01000001.1,1212429,1213724,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124897,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900125925.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.93254,235,252,3.11.26,COMBINED,2023-08-08.2,27370939,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/171/112/NZ_FQNE01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3449065,PDT000172399.2,NZ_FQTI01000001.1,142649,143944,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6125057,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900128375.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.952555,261,274,3.11.26,COMBINED,2023-08-08.2,27389899,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/172/399/NZ_FQTI01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3449109,PDT000172404.2,NZ_FQTC01000001.1,140119,141414,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6125107,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900128315.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.960526,219,228,3.11.26,COMBINED,2023-08-08.2,27407329,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/172/404/NZ_FQTC01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,HBI0807073.1,SAMEA24731668,PDT000184811.2,DACNBU020000015.1,21999,23294,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,,,431,431,431,,,Denmark,,clinical,Homo sapiens,GCA_015611085.2,2013,ERR1753469,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.85,51,60,3.11.26,COMBINED,2023-08-08.2,10618899,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/184/811/DACNBU020000015.1.fna.gz,gs://ncbi-pathogen-proteins/HBI/080/707/HBI0807073.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN06698184,PDT000210004.2,NZ_NDOG01000037.1,35570,36865,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,CFSA242,,431,431,431,,,USA:Cincinatti,sputum or oropharyngeal,clinical,Homo sapiens,GCA_002121955.1,2015-01-13,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,COMBINED,2023-11-15.1,31532499,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/210/004/NZ_NDOG01000037.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN08456629,PDT000287914.2,NZ_PQWV01000003.1,137761,139056,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,0780-1302-2015,,431,431,431,,,Russia: Moscow,Skin lesions,clinical,Homo sapiens,GCA_002925605.1,2015-02-13,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.953401,757,794,3.11.26,COMBINED,2023-08-08.2,27515739,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/287/914/NZ_PQWV01000003.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMD00083614,PDT000371379.2,NZ_BEBE01000001.1,1211927,1213222,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,M6K083,,431,431,431,,,,,clinical,Homo sapiens,GCA_003421945.1,,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.88889,68,36,3.11.26,COMBINED,2023-08-08.2,26962949,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/371/379/NZ_BEBE01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN13242395,PDT000629152.2,NZ_WJUG01000001.1,1211579,1212874,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,GHA/LAMRSA/2016/15,,431,431,431,,,Ghana: Accra,Livestock farm,clinical,Homo sapiens,GCA_009660635.1,2016-11,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,COMBINED,2023-11-15.1,32295889,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/629/152/NZ_WJUG01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN13154621,PDT000635023.2,NZ_WKGW01000005.1,84262,85557,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,UA799,,431,431,431,,,Argentina,blood,clinical,Homo sapiens,GCA_009674345.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,COMBINED,2023-08-08.2,873409,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/635/023/NZ_WKGW01000005.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN13154644,PDT000635111.2,NZ_WKHE01000017.1,21836,23131,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,UA842,,431,431,431,,,Argentina,blood,clinical,Homo sapiens,GCA_009676155.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,COMBINED,2023-08-08.2,875319,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/635/111/NZ_WKHE01000017.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN11175637,PDT000670563.2,NZ_CP047813.1,1322793,1324088,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,UP_1500,,431,431,431,,,,,clinical,Homo sapiens,GCA_009912015.1,,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.04348,48,46,3.11.26,COMBINED,2023-11-15.1,31508969,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/670/563/NZ_CP047813.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN11175628,PDT000670567.2,NZ_CP047784.1,658421,659716,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,UP_1209,,431,431,431,,,,,clinical,Homo sapiens,GCA_009912095.1,,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.04762,44,42,3.11.26,COMBINED,2023-11-15.1,31508919,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/670/567/NZ_CP047784.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN13979024,PDT000686617.2,NZ_JAAGQC010000007.1,136486,137781,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,5151,,431,431,431,,,Colombia: Pereira,blood,clinical,Homo sapiens,GCA_010569425.1,2018,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,COMBINED,2023-08-08.2,880189,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/686/617/NZ_JAAGQC010000007.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,,SAMN12251107,PDT000686819.2,VLEE01000008.1,29253,30545,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,AS012788,,431,431,431,,,USA,lung,clinical,Homo sapiens,GCA_010603685.1,2016-01-06,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.90099,182,202,3.11.26,NUCLEOTIDE,2023-08-08.2,2113869,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/686/819/VLEE01000008.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN13979375,PDT000693392.2,JAAJOM010000011.1,43812,45104,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,UE1118,,431,431,431,,,Ecuador: Quito,blood,clinical,Homo sapiens,GCA_011023585.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,NUCLEOTIDE,2023-08-08.2,2156679,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/693/392/JAAJOM010000011.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN13979569,PDT000693468.2,JAAJLO010000006.1,25969,26817,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,65.66,97.53,Staphylococcus aureus,UV176,,283,431,283,,,Venezuela: Caracas,blood,clinical,Homo sapiens,GCA_011025105.1,2012,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,NUCLEOTIDE,2023-08-08.2,2164129,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/693/468/JAAJLO010000006.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN13979137,PDT000693485.2,JAAJKX010000018.1,23479,24771,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,UC1003,,431,431,431,,,Colombia: Bogota,blood,clinical,Homo sapiens,GCA_011025445.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,NUCLEOTIDE,2023-08-08.2,2137069,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/693/485/JAAJKX010000018.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN13979376,PDT000693549.2,JAAJEM010000128.1,3769,5061,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,UE1122,,431,431,431,,,Ecuador: Quito,blood,clinical,Homo sapiens,GCA_011026725.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,NUCLEOTIDE,2023-08-08.2,2155919,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/693/549/JAAJEM010000128.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN13979162,PDT000693552.2,JAAJEK010000004.1,37528,38820,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,UC154,,431,431,431,,,Colombia: Bogota,blood,clinical,Homo sapiens,GCA_011026785.1,2012,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,NUCLEOTIDE,2023-08-08.2,2145809,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/693/552/JAAJEK010000004.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN13979136,PDT000693699.2,JAAJIS010000041.1,4057,5349,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,UC1002,,431,431,431,,,Colombia: Bogota,blood,clinical,Homo sapiens,GCA_011031155.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,,,,3.11.26,NUCLEOTIDE,2023-08-08.2,2114019,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/693/699/JAAJIS010000041.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMEA103891559,PDT000772682.2,CAIIWP010000001.1,1211922,1213214,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,CF32,,431,431,431,,,,,clinical,Homo sapiens,GCA_903813205.1,,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.889706,121,136,3.11.26,NUCLEOTIDE,2023-08-08.2,2152299,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/772/682/CAIIWP010000001.1.fna.gz,,pbp4
Staphylococcus aureus,HAR4459350.1,SAMEA4387468,PDT000811789.1,DACLHE010000003.1,30208,31503,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,MSSA,,431,431,431,,,,,,,GCA_015573295.1,,ERR1789359,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.00376,267,266,3.11.26,COMBINED,2023-08-08.2,10628869,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/811/789/DACLHE010000003.1.fna.gz,gs://ncbi-pathogen-proteins/HAR/445/935/HAR4459350.1.faa.gz,pbp4
Staphylococcus aureus,,SAMN12776025,PDT000813808.1,WBBE01000011.1,37658,38950,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,MRSA261,,431,431,431,,,"USA: Baltimore, MD",Sputum/Bronch,clinical,Homo sapiens,GCA_009460545.1,2016-01-06,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.976526,208,213,3.11.26,NUCLEOTIDE,2023-08-08.2,2194019,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/813/808/WBBE01000011.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN10689476,PDT000903127.1,VYPY01000014.1,145428,146720,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,133-760,,431,431,431,,,USA: New York City,skin-AD site,clinical,Homo sapiens,GCA_015712705.1,2014-10,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.967033,88,91,3.11.26,NUCLEOTIDE,2023-08-08.2,2148549,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/903/127/VYPY01000014.1.fna.gz,,pbp4
Staphylococcus aureus,,SAMN10689451,PDT000903151.1,VYPA01000008.1,175337,176629,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,100-352,,431,431,431,,,USA: New York City,skin-nares,clinical,Homo sapiens,GCA_015713195.1,2013-10,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.0597,71,67,3.11.26,NUCLEOTIDE,2023-08-08.2,2154839,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/903/151/VYPA01000008.1.fna.gz,,pbp4
Staphylococcus aureus,HBC4012121.1,SAMN18824839,PDT001011182.1,DADYHU010000001.1,1212279,1213574,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,WAPHLSTAP00043,,431,431,431,,,USA:HI,water,environmental/other,,GCA_018134665.1,2020-10-31,SRR14301272,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.01136,89,88,3.11.26,COMBINED,2023-08-08.2,10639529,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/1011/182/DADYHU010000001.1.fna.gz,gs://ncbi-pathogen-proteins/HBC/401/212/HBC4012121.1.faa.gz,pbp4
Staphylococcus aureus,HBC7289170.1,SAMEA6656639,PDT001012987.1,DADZOT010000002.1,30237,31532,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,Staphylococcus aureus,,431,431,431,,,Denmark,,clinical,Homo sapiens,GCA_018165015.1,2018,ERR4013699,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.984375,63,64,3.11.26,COMBINED,2023-08-08.2,10640349,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/1012/987/DADZOT010000002.1.fna.gz,gs://ncbi-pathogen-proteins/HBC/728/917/HBC7289170.1.faa.gz,pbp4
Staphylococcus aureus,,SAMN16063624,PDT001022743.2,JAGRSZ010000005.1,30281,31573,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTX,100.0,98.84,Staphylococcus aureus,2c3057p1,,431,431,431,,,"USA: Arizona, Yuma",Palm,clinical,Homo sapiens,GCA_018306065.1,2019,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.970803,133,137,3.11.26,NUCLEOTIDE,2023-08-08.2,2139919,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/1022/743/JAGRSZ010000005.1.fna.gz,,pbp4
